County,Race,Coverage,Total Count
Tioga,Unknown,Partially Covered,649
Tioga,White,Fully Covered,719
Tioga,White,Partially Covered,1689
Union,African American,Fully Covered,11
Union,African American,Partially Covered,29
Union,Asian,Fully Covered,5
Union,Asian,Partially Covered,6
Union,Multiple/Other,Fully Covered,66
Union,Multiple/Other,Partially Covered,186
Union,Unknown,Fully Covered,426
Union,Unknown,Partially Covered,1008
Union,White,Fully Covered,1253
Union,White,Partially Covered,2988
Venango,African American,Fully Covered,
Venango,African American,Partially Covered,8
Venango,Asian,Fully Covered,
Venango,Asian,Partially Covered,
Venango,Multiple/Other,Fully Covered,87
Venango,Multiple/Other,Partially Covered,30
Venango,Unknown,Fully Covered,403
Venango,Unknown,Partially Covered,909
Venango,White,Fully Covered,1246
Venango,White,Partially Covered,2074
Warren,African American,Partially Covered,
Warren,Asian,Partially Covered,
Warren,Asian,Fully Covered,6
Warren,Multiple/Other,Fully Covered,16
Warren,Multiple/Other,Partially Covered,34
Warren,Unknown,Fully Covered,443
Warren,Unknown,Partially Covered,452
Warren,White,Fully Covered,1568
Warren,White,Partially Covered,1662
Washington,African American,Fully Covered,64
Washington,African American,Partially Covered,238
Washington,Asian,Partially Covered,23
Washington,Asian,Fully Covered,25
Washington,Multiple/Other,Fully Covered,274
Washington,Multiple/Other,Partially Covered,573
Washington,Unknown,Fully Covered,2319
Washington,Unknown,Partially Covered,4342
Washington,White,Fully Covered,3801
Washington,White,Partially Covered,10917
Wayne,African American,Partially Covered,68
Wayne,African American,Fully Covered,5
Wayne,Asian,Fully Covered,
Wayne,Asian,Partially Covered,
Wayne,Multiple/Other,Fully Covered,99
Wayne,Multiple/Other,Partially Covered,181
Wayne,Unknown,Fully Covered,470
Wayne,Unknown,Partially Covered,752
Wayne,White,Fully Covered,1283
Wayne,White,Partially Covered,3237
Westmoreland,African American,Fully Covered,96
Westmoreland,African American,Partially Covered,218
Westmoreland,Asian,Fully Covered,8
Westmoreland,Asian,Partially Covered,10
Westmoreland,Multiple/Other,Fully Covered,722
Westmoreland,Multiple/Other,Partially Covered,594
Westmoreland,Unknown,Fully Covered,5571
Westmoreland,Unknown,Partially Covered,8847
Westmoreland,White,Fully Covered,6785
Westmoreland,White,Partially Covered,16743
Wyoming,African American,Fully Covered,
Wyoming,African American,Partially Covered,
Wyoming,Asian,Partially Covered,
